,5
CAMINO,1
CAMINO ,1
CAMPAMENTO,1
CAMPAMENTO/ CARPA/ IMÁN ,1
CARA,3
CARA(ROSTRO),1
CARA/ ROSTRO,2
CARGANDO MOCHILA,2
CARPA,2
CARRETE,1
CASA,33
CASA ,1
CASADO,1
CASAR,28
CASAR-CASAR,1
CASARME,1
CASARSE,3
CAÍ,1
CAÍ/ CAER,1
CERRAR,1
CERRAR CORTINA,1
CHAU,12
CHAU - CHAU,1
CHAU/ DESPEDIR,2
CHAU/ HOLA,1
CHICA,6
CHICA-CHICA,1
CHICA/ NIÑA,1
CHICO,1
CHICO/ PEQUEÑO,3
CHIQUITO,2
CHOCAR (CABEZA),1
CHOCAR/ ACCIDENTE,1
CHOCÓ EN LA CABEZA,1
CHOMPA,2
CINCO MIL,1
CLASE,1
CLASE/ COLEGIO,1
CLASES/ COLEGIO,1
CODO IZQUIERDO,1
COJEAR,1
COLEGIO,1
COMPARAR ,1
COMPARTE,1
COMPRAR,1
COMUNION/ EN COMPAÑIA,1
CON,3
CONTACTAR,1
CONTAR,5
CONTENTA/ FELIZ,1
CONVERSAR,1
CONVERSAR ,1
CONVERSAR/ COMUNICAR,2
CONVIVE Ó SE JUNTÓ,1
COPIAR? IMITAR?,1
CORAZÓN,1
CORRE COQUETA,1
CORRER,19
CORRER (ASL),1
CORRER (LSP),1
CORRER LENTO,2
CORRIENDO,4
CORRIERON,1
CORRIERON- CORRER (ASL),1
CORTAR ,1
CORTAR/ INTERRUMPIDA,1
CORTINA,4
CORTINA ABIERTA,1
CORTINAS,6
COSA/ ALGO,1
COSAS,4
CREER,1
CUAL,1
CUANDO,3
CUARTO,4
CUENTA (UNA HISTORIA),1
CUERPO,1
CUERPO O TRONCO,1
CUIDADO,12
CUIDAR,5
CUIDATE,2
CUÁL,5
CUÁL? ,1
CUÁNDO,1
CUÁNTOS?,1
CÓMO,12
CÓMO?,4
DA PASOS,2
DAME,1
DAR,1
DAR(ÁS) - DAR,1
DAR/ REGALAR,1
DAÑAR,1
DE ACUERDO,5
DE COLORES,1
DE VERDAD,1
DEBAJO,1
DEBAJO Ó METERSE,1
DEBO,1
DECIR,12
DECIR ,1
DEJAR,1
DELGADO/ FLACO,1
DESAPARECER,7
DESAPARECIDO,2
DESAPARECIDOS,1
DESAPARECIERON,1
DESCANSAR,1
DESCUBRIR,2
DESEAR/QUERER,3
DESPEDIR,2
DESPEDIR/ CHAU,2
DESPEDIR/CHAU,2
DESPEINADA,1
DESPUES,2
DESPUÉS,14
DESPUÉS ,1
DESPUÉS Ó SIGUIENTE,1
DESPUÉS/ LA PRÓXIMA,1
DESPUÉS/ LUEGO,1
DESPUÉS? PRÓXIMA?,1
DESPÚES,1
DESTRUIDO,1
DETALLES/ CARACTERISTICAS/ PÉRFILES,1
DETRAS DE ESTE DOS LADOS,1
DETRÁS,1
DIBUJO,1
DICE,11
DICE/ DIJO,1
DICEN,1
DICIEMBRE,2
DICIEMBRE- DICIEMBRE,1
DIEZ - OTRO,1
DIFERENTE,2
DIFERENTE/ DISTINTO,1
DIFERENTES/ VARIOS,1
DIFICIL,3
DIFUNDIR,1
DIFÍCIL,6
DIFÍCIL(ASL),1
DIGO,5
DIJO,16
DIJO/ AVISO,1
DIJO/ DECIR,1
DIJO/ DICE,1
DINERO,8
DINERO/ PLATA,1
DISLOCAR,1
DISTRAIDO,1
DIVERTIR,1
DOLOR,6
DOLOR DE CABEZA,1
DOLOR DE CABEZA (EN ASL),1
DOLOR DE CABEZA(EN LSP),1
DOLOR EN LSP,1
DOLOR-DOLOR-DOLOR ,1
DONDE,6
DORMIR,1
DOS,51
DOS JUNTOS,1
DOS SE ACERCAN,1
DUDA,2
DUDAR,1
DUELE,2
DUELE-DUELE,1
DUEÑO(A)/ PROPIEDAD DE ALGUIEN,1
DÍA,1
DÓNDE,13
DÓNDE-DÓNDE,1
DÓNDE/ QUÉ,1
ECHAR,1
ECHAR (CAMA),1
ECHARSE,3
ECHARSE EN ALGO,1
EEE--PERSONA,1
EEEEEHH,1
EEEEH,1
EEEEHH,1
EEEH,1
EEH?,1
EH?,1
EJEMPLO,1
EJERCICIO,1
EL,13
EL CAMINAR OTRO LADO,1
EL CUARTO,1
EL FUE,1
EL OTRO,2
EL OTRO LE RESPONDE,1
EL OTRO VIENE,1
EL SEGUNDO,1
EL SIGUIENTE DIA O MAÑANA,1
EL/ ELLA,4
EL/ ELLOS,1
EL/ELLA,1
EL/ELLA ,1
ELEGANTE,2
ELLA,22
ELLA (MUJER+ESA),1
ELLA DECIR,1
ELLA( A LA CHICA),1
ELLA/ ESA,6
ELLA/ LA,3
ELLOS,3
ELLOS/ AHÍ,1
ELLOS/ELLAS,1
EMOCIONAR,1
EMPACAR,2
EMPEZAR,1
EMPEZAR ,2
EN GRUPO,1
EN(ESPAÑOL SIGNADO,1
ENAMORADO,1
ENAMORAR,1
ENCAJAR,1
ENCONTRAR,8
ENCONTRAR ,2
ENCONTRAR O ACERCAR,1
ENCONTRAR/ ACERCAR,1
ENCONTRAR/ACERCAR,1
ENCONTRARON,1
ENCONTRARSE O ACERCARSE,2
ENCONTRARSE/ ACERCARSE,1
ENCUENTRA,2
ENERO,4
ENFERMA,17
ENFERMA (EN ASL),2
ENFERMA EN ASL,1
ENFERMA EN LSP,1
ENFERMA(ASL),1
ENFERMA/ FIEBRE?,1
ENFERMAR,5
ENFERMO,1
ENFOCAR/ ESTAR ATENTA,1
ENGAÑAR,1
ENGAÑARME,1
ENGAÑO,1
ENTENDER,6
ENTENDISTE?,1
ENTIENDO,1
ENTONCES,6
ENTRAMOS,1
ENTRAR,22
ENTRAR/ ADENTRO,3
ENTRARON/ ADENTRO,1
ENTRISTECER,1
ENTRÓ,4
ENTUSIASMADA,1
ENYESAR,1
ERROR,1
ESA,3
ESA - ESA,1
ESA MUJER,1
ESA/ ELLA,6
ESA/ LA,6
ESA/ELLA,1
ESA/LA,2
ESA/LA ,1
ESCAPAR,1
ESCAPAR/ FUGAR,3
ESCOGER- ESCOGER/ ELEGIR,1
ESCONDER,14
ESCONDER (ASL),1
ESCONDERSE,3
ESCRIBIR,1
ESCUCHAR,2
ESCUCHAR PSL,1
ESE,27
ESE ,3
ESE (OTRO) ÉL,1
ESE HOMBRE,1
ESE MISMO/ QUE,1
ESE(A),1
ESE/ EL,2
ESE/ ESA,1
ESE/ ÉL,7
ESE/ ÉSTE,1
ESE/EL,3
ESE? YO?,1
ESOS,1
ESPEJO,1
ESPERA,7
ESPERA / AGUANTA,1
ESPERAR,12
ESPERAR O DETENER,1
ESPERAR/ AGUARDA,1
ESPOSO,9
ESPOSO O CASAR,1
ESPOSO(A),1
ESTA BIEN,1
ESTAR,1
ESTATURA/ TALLA/ MIDE,1
ESTE,7
ESTE(A),1
ESTE/ AHÍ,1
ESTE/ ESTA,1
ESTE/ESTA/ELLA,1
ESTEEEE HUMMMM,1
ESTO,1
ESTUDIAR,4
ESTUDIAR ,1
ESTÁ BIEN,1
ESTÁN?,1
EXACTA/ PERFECTO,1
EXPLICAR,4
EXPLICO,2
F-E-B-E-R,1
FALTA,4
FAMILIA,1
FEBRERO,7
FELIZ,4
FIEBRE,2
FIN,5
FIN/ TERMINAR,2
FINGIR,1
FLACA,2
FLACO,4
FLACO-FLACO(REPETICIÓN),1
FLACO/ DELGADO,2
FLACO/DELGADO,1
FRACTURA,1
FRACTURA- FRACTURA,1
FRACTURA/ DISLOCAR,1
FRACTURA/ ROMPER,2
FRACTURAR/ ROMPER,1
FREGADA,2
FRIO,2
FRIÓ,1
FRÍO,19
FRÍO?,1
FUE,4
FUE - FUERON,1
FUE-con otro, a otro lado,1
FUERON,7
FUERTE,3
FUTURO,19
G-I-T-A-N-A,1
G-J-O-N,1
GORDO,19
GORDO(A),1
GORRA,1
GORRO,16
GOZAR/ FELIZ,1
GRACIAS,4
GRADAS/ ESCALERAS,1
GRANDE,10
GRANDE O ALTO,1
GRANDES,2
GRANDES/ ALTOS,1
GUAPA,1
GUAPO,1
GUARDAR,5
GUARDAR EN LSP,1
GUAU,5
GUSTAR,4
GUSTAS,1
HABLAMOS,1
HABLANDO,2
HABLAR,7
HABLARON,3
HABLARON/ CONVERSARON,1
HABLARÓN/ CONVERSARON,1
HACE PREGUNTAS,1
HACER,7
HACER PREGUNTAS,1
HACER UNA LLAMADA,1
HACER??,1
HASTA,1
HASTA (ASL),1
HASTA (EN ASL),1
HAY,2
HE DICHO,1
HIJA,5
HIJA (EN ASL),1
HIJA(O),1
HIJAS,1
HIJO,12
HIJO(A),1
HIJO-HIJO,1
HIJOS,1
HINCHAZÓN,2
HINCHAZÓN POR LA CABEZA/ INFLAMAR,1
HISTORIA,3
HOLA,4
HOMBRE,83
HOMBRE???,1
HOMBRES,3
HOMBRES ,1
HOY,2
HOY/ ACÁ,1
HUMM,7
HUMM?,4
HUMMM,8
HUMMM SÍ,2
HUMMM SÍ?,1
HUMMM',1
HUMMM?,7
HUMMM? PENSANTIVO,1
HUMMM? SÍ,1
HUMMM???,1
HUMMMM,2
HUMMMM?,2
HUMMMMM,3
HUMMMMM?,1
HUMMMMMM,1
IDEA,3
IDEA ,1
IDEA/ EUREKA,1
IGUAL,8
IGUAL -IGUAL,1
IGUAL/ ENCAJA,1
IGUAL/ ENCAJAR,1
IGUAL/ ESE MISMO,2
IMAGINANDO,2
IMAGINANDO O PREGUNTA,1
IMAGINANDO? PREGUNTA?,1
IMAGINAR,1
IMPORTA,1
IR,5
IR-fue,1
IR/ FUE,2
IR/ SALIR,7
IR/ SE FUE,2
IR/SALIR,2
IRSE,3
J,1
J-H-N,1
J-O-H-N,3
J-O-H-N-Y-S-U-E,1
J-O-N,1
J-O-N-Y-S-U-E,1
J-U-A-N,6
J-U-A-N-,1
J-U-A-NNNN,1
JNTOS,2
JOVEN,2
JOVENES,2
JOVENES (CHICAS),1
JOVENES/CHICOS,1
JUGAR,6
JUGUETÓN,1
JUNTOS,3
JUNTOS/ CON,1
JUNTOS/ EN GRUPO,1
LA,3
LA ADIVINA LE RESPONDE: QUÉ??,1
LA MISMA,1
LA Ó ESE,1
LA/ ELLA,4
LA/ ESA,2
LADRONES/ RATEROS,1
LALLÍ,1
LAS MISMAS,1
LATIR CORAZON,1
LE DICE,1
LE RESPONDE,1
LENTES,5
LEVANTAR,1
LIGERO? NO HAY NADA,1
LIMPIO/ BONITO/ NUEVO,2
LIMPIO/BONITO/NUEVO,1
LINDO,2
LINDO/HERMOSO,1
LINTERNA,2
LINTERNAS,1
LISTO,2
LISTO(A),1
LLAMA,1
LLAMADA,1
LLAMANDO,1
LLAMAR,16
LLAMAR - LLAMAR,1
LLAMAR ATENCIÓN/ OYE,1
LLAMAR POR TELEFONO,1
LLAMAR/ OYE,3
LLAVE,1
LLEGAR,10
LLEGARON,1
LLEVAR,1
LLORA,1
LLORAR,1
LLOVER,4
LLOVER - LLOVER,1
LLOVER?,1
LLUEVE CON FUERZA,2
LLUVIA,7
LLUVIA FUERTE,1
LLUVIA MUCHO,1
LLUVIA/ LLOVIENDO,1
LO DEJO,1
LO TRES,1
LOS DOS,2
LOS DOS/ AMBOS,1
LOS TRES,1
LUCES,1
LUEGO,38
LUGAR,4
LUJO,1
MAMÁ,39
MAMÁ(ASL),1
MAMÁ(LSP),2
MAMÁ??,1
MANSION,2
MARCA DE PREGUNTA,1
MAREADA,1
MARZO,6
MARZO (LSP),1
MARZO(LSP),1
MARZO- MARZO- MARZO( SEÑA EFATINO),1
MATRIMONIO,3
MATRIMONIO/ BODA,2
MAÑANA,2
MCHOS,1
ME,3
ME DICE,2
ME DICEN,1
ME DIJO,1
ME FREGUÉ,1
ME PREGUNTA,2
ME/ YO,3
MEDIDA,1
MEDIO,1
MEDIR,1
MEDITAR/ REFLECIONAR,1
MEJOR,30
MEJOR ,1
MENTE PREGUNTAR,1
MES,2
MESA,2
MIDE,2
MIL,1
MILES,1
MIRA,3
MIRA ESTO",1
MIRA MIRA,1
MIRA/ VER,1
MIRANDO,1
MIRANDO UNO EN EL OTRO,1
MIRANDO( A SU MADRE),1
MIRAR,3
MIRAR ,1
MIRAR/ FIJAR,1
MIRAR/ VER,3
MIRO,1
MISMA,2
MOCHILA,15
MONTÓN,1
MORIR/  FALLECER,1
MORIR/ FALLECER,5
MUCHA,1
MUCHAS-MUCHAS,1
MUCHO,3
MUCHOS,3
MUCHOS/ MONTÓN,1
MUDAS,2
MUJ----HOMBRE,1
MUJER,102
MUJER - MUJER,1
MUJERES,1
MULETAS,2
MUSCULOSO,1
MUY,1
MUY BIEN,3
MUY BIEN!,1
MÁS,2
MÁS O MENOS,2
MÁS O MENOS / APROXIMADAMENTE,1
MÁS O MENOS/ APROXIMADAMENTE,1
MÁS O MENOS/ APROXIMADO,1
MÁS/ OTRA VEZ,1
MÁS/ PLUS,1
MÍ,1
MÍ - MÍ - MÍ,1
MÍ/ MÍO,3
MÍA,1
N-I-N??,1
NACER - NACER,1
NACER NACER,1
NADA,3
NADA DE NADA,1
NADA MÁS,8
NADA MÁS O TERMINAR ,1
NADA MÁS/ FIN,2
NADA MÁS/ TERMINAR,3
NADA/ NADIE,1
NADA?,1
NADIE,1
NAVEGANDO EN BOTE,1
NAVIDAD - DICIEMBRE,1
NECESITAR,1
NIEVE,2
NIÑA,6
NIÑOS,3
NIÑOS(AS),1
NO,48
NO ,1
NO (ASL),1
NO (LSP),1
NO - NO -NO,2
NO CABEN/ NO MEDIMOS,1
NO ENTENDER,1
NO ENTIENDE,3
NO ENTIENDEN,1
NO ENTIENDO,1
NO HAGO CASO Ó YA NO IMPORTA,1
NO HAY NADA/ VACÍO,1
NO IMPORTA,5
NO IMPORTA ,1
NO NO,1
NO SABE,3
NO SABE (LA DUDA),1
NO SABER,1
NO SABÍAS - NO SABÍAS,1
NO SE DARÁ CUENTA,1
NO SÉ,4
NO SÉ/ NO SABEMOS,2
NO SÉ/ QUIZÁS,1
NO- NO,1
NO- NO- NO,1
NO-GUSTAR,1
NO-NO,2
NO-NO-NO,1
NO/NADA,1
NOMBRE,13
NOMBRE/ SE LLAMA,1
NOO,2
NORMAL,3
NOSOTROS,1
NOTICIAS,2
NUBE,1
NUBE/ CLIMA,1
NUNCA,1
NUNCA O NADA,1
NÚMERO,2
O-K,1
O-K?,1
OBJETIVO/ PROPOSITO,1
OCUPADA,1
OCUPADO,2
OCURRIÓ O PASÓ?,1
OH,1
OH - OH,1
OH QUE RARO,1
OH SI,1
OK,10
OK-OK,2
OK-OK-OK,1
OLVIDAR,6
ORO,1
OSCURO,4
OTRA,1
OTRA PERSONA O A LA EMISORA,1
OTRA VEZ,30
OTRA VEZ TÚ,1
OTRA VEZ? MÁS?,1
OTRA VEZ???,1
OTRO,25
OTRO (A),1
OTRO UNO,1
OTRO(A),1
OYE,6
OYE MIRA,1
OYE/ PRESTAME ATENCIÓN,1
P-D,1
P-E-D-R-??,1
P-E-D-R-E,1
P-E-D-R-E-D,1
P-E-D-R-O,3
P-E-D-R-OOOOOOOOOOO,1
P-I-E-R-D-O,1
PACIENCIA,2
PADRES,1
PAGAR,5
PANZÓN / CON ROLLOS,1
PANZÓN/ GORDO,1
PAPÁ,3
PARA,1
PARA/ POR,1
PARADA,1
PARAGUA,4
PARAGUA?,1
PARAGUAS,6
PARARSE,2
PASA,5
PASAR ALGO,1
PASE,1
PASEAR,5
PASEAR BICICLETA,1
PASÓ,2
PASÓ ALGO?? (ASL),1
PEDIR,1
PELEAR,1
PELEAR O DISCUTIR,1
PELEAR/DISCUTIR,1
PENSANDO,1
PENSANDO O RAZONANDO,1
PENSANDO/ MEDITANDO/ REFLEXIONANDO,1
PENSAR,101
PENSAR ,4
PENSAR O CABEZA,1
PENSAR O RECORDAR,1
PENSAR O SOSPECHAR,1
PENSAR/ RAZONAR,1
PENSAR/ RAZONAR/ REFLEXIONAR,1
PENSAR/ RAZONAR/ REFLEXIONAR/ MEDITAR,1
PENSAR/PENSÉ,1
PEQUEÑA,3
PEQUEÑA O NIÑA,1
PEQUEÑA(O),1
PEQUEÑITO,2
PEQUEÑO,5
PEQUEÑO/ CHICO,3
PERDER,1
PERDÓN,1
PERFECTO,4
PERFECTO?,1
PERIÓDICO,2
PERMISO,3
PERMISO ,1
PERMITIR,1
PERO,8
PERO? ENTONCES?,1
PERSEGUIR,1
PERSEGUIR/ SEGUIR,2
PERSIGUEN,1
PERSONA,13
PERSONA BAJA DEL BOTE,1
PERSONAS,2
PESCANDO,4
PESCAR,2
PEZ,1
PIENSA,1
PIENSA QUE?,1
PIENSO,9
PIERNA DERECHO?,1
PIERNA IZQUIERDO,1
PLATA,1
PLATA/ DINERO,2
POCO,2
POCO/ CASI,1
PODEMOS,3
PODER,4
POLICIA,7
POLICIAS,2
POLICÍA,2
POLICÍAS,1
PONER ACUERDO,1
POR -POR-PORQUE,1
POR AHÍ,5
POR AHÍ ABAJO,1
POR FAVOR,6
POR LA CABEZA,1
POR QUÉ,6
PORQUÉ,4
PORQUÉ?,4
PORQUÉ? - PORQUÉ?,1
PREGUNTA,8
PREGUNTAR,23
PREGUNTAR/ AVERIGUAR,1
PREGUNTARON,1
PREGUNTAS,3
PREGUNTO,3
PREGUNTO PUES,1
PRIMERO,8
PRIMERO ,1
PROBAR,3
PROBLEMA,2
PROHIBIDO,5
PROMETER,1
PRONTO/ EN BREVE,1
PROXIMA,1
PROXIMO O DESPUES,1
PRUEBA,2
PRÓPOSITO/ OBJETIVO,1
PUCHA O ME ARREPIENTO,1
PUEDE,4
PUEDEN,2
PUEDO,3
PUERTA,1
PUES,16
PUÉS,9
PUÉS/ BUENO,1
QUDARSE,1
QUE HACER?,2
QUE IMPORTA,1
QUE PASÓ,1
QUE PASÓ?,5
QUE PIENSA?,1
QUE SUCEDIÓ? O QUE PASÓ?,1
QUE SUCEDIÓ? O QUE SUCEDIÓ?,1
QUE TE PASA!,1
QUE TE PASÓ?,1
QUE? AH,1
QUEDAR,6
QUEDAR ,2
QUERER,15
QUERER/ DESEAR,3
QUIEN,1
QUIERE,1
QUIERO,4
QUINTO,1
QUIZÁS,1
QUIZÁS Ó TAL VEZ,1
QUIZÁS/ TAL VEZ,2
QUIÉN?,3
QUÉ,21
QUÉ ES ESTO? QUÉ TE PASÓ? Y AHORA QUÉ? ,1
QUÉ ESTÁ PASANDO?,1
QUÉ HACE?,3
QUÉ HACER?,2
QUÉ PASAS?,1
QUÉ PASÓ,1
QUÉ PASÓ/ QUE SUCEDIÓ,1
QUÉ PASÓ?,8
QUÉ PASÓ? ,1
QUÉ PASÓ?/ QUÉ SUCEDIÓ?,1
QUÉ SUCEDER,1
QUÉ SUCEDER?,1
QUÉ SUCEDIÓ? O QUE PASÓ?,1
QUÉ SUCEDIÓ?/ QUÉ PASÓ?,2
QUÉ/ OYE,1
QUÉ?,40
QUÉ? ,1
QUÉ? O CUÁL?,1
QUÉ? O DÓNDE?,1
QUÉ? QUÉ?,1
R-A-F-A-E-L,4
R-A-F-A-E-L-Y,1
R-A-Q-P-F-E-F-A-E-L,1
R-I-C???,1
R-X,1
RAZONANDO,2
RAZONAR,1
RAZONAR/ REFLEXIONAR,1
RECIENTEMENTE?,1
RECORDAR,3
RECUERDAS???,1
RECUERDO,1
RECUPERAR/ SANAR,2
REFLECIONA/ RAZONANDO,1
REGRESAR,1
REGRESAR ,1
REGRESAR(ESPAÑOL SIGNADO),1
REGRESO,1
REPARTIR,1
REPETIR,1
REPETIR? OTRA VEZ?,1
RESPONDER,1
RESUMEN,2
RESUMÉN,1
RETROCEDO/ VUELVO,1
REVERENCIA O TIMIDA,1
RICA,1
RICO,2
RICO / MILLONARIO,1
RICO O PITUCO,1
RICO/ ADINERADO,1
RIQUEZA/ RICO,1
RODAR/ DAR VUELTAS,1
RODILLA IZQUIERDO,1
RODILLA O PIERNA DERECHA,1
RODILLA/ PIERNA,1
ROGAR,1
ROPA,1
ROPA PARA LLUVIA,1
ROPA/ CASACA,1
ROPAS,1
RÁPIDO,3
RÁPIDO - APURARSE,1
S-I,1
S-O,1
S-O-F-I-A,10
S-U-E,5
S-U-E ,1
SABE (LSP),1
SABER,12
SALE,1
SALE A TROTAR,1
SALES,2
SALIMOS,2
SALIMOS/ SALIR,1
SALIMOS?,1
SALIR,17
SALIR (ASL),1
SALIR A CAMINAR,1
SALIR/ AFUERA(ASL),1
SALIR/ IR,3
SALIR/ IR (SE FUE),1
SALIR/ SE FUE,3
SALIR/ VAMOS,1
SALUDAN,1
SALUDAR/ HOLA,4
SANA,1
SANAR,2
SE ACABÓ/ SE TERMINÓ,1
SE ACERCAN,1
SE ACERCARON,1
SE ACERCO,2
SE ACERCÓ,1
SE ACERCÓ O SE ENCONTRÓ,1
SE CAE,5
SE CASÓ,1
SE CAYÓ,5
SE CAYÓ VOLANDO,1
SE COMPARTE,1
SE DOBLO,1
SE ENCUENTRAN,1
SE ENFERMÓ (ASL),1
SE FREGÓ,1
SE FUE,22
SE FUE OTRO CAMINO,1
SE FUE/ SALIR,3
SE FUE/ SALIÓ,3
SE FUERON,4
SE FUERON A CAMINAR,1
SE LEVANTA,1
SE LLAMA/ NOMBRE,3
SE QUEDA,2
SE REPITE,1
SE RESBALA,1
SE SEPARA,1
SE SIENTE INCÓMODA / CON DUDA,1
SEGUNDO,19
SEIS,1
SEIS - SEIS,1
SENTAR,4
SENTARSE,2
SENTIR,13
SENTIR FRÍO,2
SENTIR?,2
SEXTO,1
SI,3
SI - SI,1
SI, SI,1
SI, SI, SI,1
SI?,1
SIEMPRE,1
SIENTE FELICIDAD,2
SIGNO DE EXCLAMACION O SIGNO DE INTERROGACION,1
SILENCIO,1
SIN DARSE CUENTA,1
SIN ENTENDER,2
SOL,5
SOLA,1
SOLA/ UNA,1
SOLTERA,3
SOLTERA/SIEMPRE,1
SOMBRERO,1
SOMOS DOS,1
SOMOS DOS/ AMBOS,1
SON DOS,1
SONREIR,1
SORPRENDIDA/ SE ASOMBRA,1
SORPRENDIDOS,1
SORPRESA,1
SOSPECHA,1
SOSPECHAR,1
SOSPECHO Ó IMAGINO,1
SOÑAR O VISION,1
SOÑAR/ VISION,1
SU,6
SUBIERON,2
SUCEDER,1
SUCEDIÓ/ OCURRIÓ/ SE ACCIDENTÓ,1
SUERTE,2
SUERTE Ó CASUALIDAD,1
SULUDOS,1
SUPONE/ SOSPECHA,1
SUPONGO/ SOSPECHO,1
SÉ,3
SÍ,32
SÍ - SÍ,1
SÍ - SÍ - SÍ,1
SÍ AHÍ VEN AHÍ,1
SÍ PSL,1
SÍ-SÍ,2
SÍ?,3
